建立者,時間,更新者,更新時,狀態索引,狀態描述,自定義唯一鍵,代碼1,欄位,屬性,欄位值,條件,目標值,代碼2設定,代碼2,觸價後取消其他觸價監控,觸價後啟動其他觸價監控,滿足單一條件即執行策略新倉,滿足全部條件再執行策略新倉,滿足單一條件即執行策略平倉,滿足全部條件再執行策略平倉,監控開始,監控結束,註解
"ButtonSaveTriggerRule_Click","2022/05/02 17:40:47.047443","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","01","MTX06","漲跌","UpDown","0.00",">=","1000.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S11","","","","2022/05/25 08:45:10.000000","2022/05/25 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:41:57.420729","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","02","MTX06","漲跌","UpDown","0.00",">=","1000.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S11","","","","2022/05/25 15:00:10.000000","2022/05/26 04:59:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:45:15.434550","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","03","MTX06","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S11","","","","2022/05/25 08:45:10.000000","2022/05/25 08:48:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:46:09.640515","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","04","MTX06","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S11","","","","2022/05/25 15:00:10.000000","2022/05/25 15:03:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:47:35.382320","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","05","MTX06","成交最低價差","DealLow","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S11","","","","2022/05/25 08:45:10.000000","2022/05/25 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:48:29.772347","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","06","MTX06","成交最低價差","DealLow","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S11","","","","2022/05/25 15:00:10.000000","2022/05/26 04:59:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:50:21.415419","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","07","MTX06","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S21","","","","2022/05/25 08:45:10.000000","2022/05/25 08:48:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:51:18.861593","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","08","MTX06","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S21","","","","2022/05/25 15:00:10.000000","2022/05/25 15:03:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:53:13.395443","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","09","MTX06","成交最高價差","DealHigh","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S21","","","","2022/05/25 08:45:10.000000","2022/05/25 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:53:43.860418","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","10","MTX06","成交最高價差","DealHigh","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S21","","","","2022/05/25 15:00:10.000000","2022/05/26 04:59:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:43:12.663186","Cancel","2022/05/25 14:53:43.100360","Cancelled","已取消","11","MTX06","成交價","DealPrice","0.00",">=","0.00","-5.00","TSEA","01,02,03,04,05,06,07,08,09,10,12,14,15,16,17","","","S11","","","","","等12觸價後再啟動"
"ButtonSaveTriggerRule_Click","2022/05/02 17:43:12.663186","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","12","MTX06","成交價","DealPrice","0.00","<=","0.00","-25.00","TSEA","01,02,03,04,05,06,07,08,09,10,14,15,16,17","11","","S11","","","","",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:47:35.382320","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","13","MTX06","成交最低價差","DealLow","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,14,15,16,17","","","S11","","","","",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:47:35.382320","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","14","MTX06","成交最低價差","DealLow","0.00",">=","55.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S11","","","","2022/05/25 08:45:10.000000","2022/05/25 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:48:29.772347","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","15","MTX06","成交最低價差","DealLow","0.00",">=","55.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S11","","","","2022/05/25 15:00:10.000000","2022/05/26 04:59:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:53:13.395443","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","16","MTX06","成交最高價差","DealHigh","0.00","<=","-55.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S21","","","","2022/05/25 08:45:10.000000","2022/05/25 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:53:43.860418","AddRule","2022/05/25 14:53:43.022238","Waiting","等待中","17","MTX06","成交最高價差","DealHigh","0.00","<=","-55.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17","","S21","","","","2022/05/25 15:00:10.000000","2022/05/26 04:59:00.000000",""
